context_id	word	gold_sense_id	predict_sense_id	positions	context
29	замок	1		195-200, 203-208, 413-418	сын гедимина трокский князь кейстут . около года в этом замке родился витовт . в году кейстут перенес свою столицу из старых трок в защищенные озером новые троки , где был построен полуостровной замок . замок в старых троках в году был разрушен и больше не восстанавливался . участок земли с остатками замка витовт в году подарил монахам бенедиктинцам . монастырь стоит на старом замчище . трокский полуостровной замок был построен кейстутом
30	замок	1		208-213	, но главные башни и стены к году еще сохранились . несмотря на протесты , в году , по решению первого секретаря обкома кпсс николая коновалова развалины замка были взорваны . вершина горы , на которой стоял замок , была на несколько метров срыта . приблизительно на месте юго - восточной части замка в настоящее время стоит строившийся ( и недостроенный ) в советское время дом советов . с по годы (
31	замок	1		149-154, 325-330, 441-446	, уже в стародавние времена действовала переправа через реку , а укрепление пруссов на твангсте так и напрашивалось на закладку орденской крепости . замок был выстроен из дерева на месте прусского городища тувангсте и на протяжении всего xiii века неоднократно подвергался нападениям восставших пруссов и литовских отрядов . замок был основан в январе года как деревянное строение , двумя годами позже началось возведение кирпичного замка . замок служил резиденцией маршалов тевтонского ордена и был центром сбора рыцарских походов в великое княжество литовское в xiv веке . с
32	замок	1		84-89, 252-257, 313-318, 473-478	, седьмой лорд стюарт , напившись допьяна , поменялся с одним из кэмпбеллов — отдал замок в обмен на восьмивесельную лодку - верейку . сталкер вернулся к стюартам только в  г . , но после поражения в битве при данкелде , сюартов обязали вновь передать замок кэмпбеллам . стюарты отказались , и кэмпбеллы осаждали замок в течение нескольких месяцев , пока наконец не захватили его . кэмпбеллы жили в замке примерно до  г . , потом перебрались с острова на большую землю , а замок использовали как склад
33	замок	1		348-353	новопостроенные замки часто стилизировались под средневековые , однако не имели никакого оборонительного значения — стены и башни этих замков , порой весьма внушительные , служили лишь декоративным целям . характерными примерами подобного типа замков являются замки , построенные королем людвигом ii баварским в середине xix века ( в особенности — замок нойшванштайн ) .
34	замок	1		106-111, 205-210	конце xiv в . сэр уильям кит снес более ранние ( вероятно деревянные ) постройки и построил на этом месте замок из камня . в г . король яков v передал право владения данноттаром лорд - маршалу шотландии . замок посещали королева мария стюарт ( в г . и в г . ) и король яков vi ( в г . ) . между
35	замок	1		82-87, 312-317	месте римлян — в частности , римские монеты . в период правления петра савойского замок был укреплен и расширен придворным архитектором менье . активная перестройка замка продолжалась вплоть до xv века . именно в этот период были возведены основные сооружения , определившие его исторический облик . традиционно замок служил также тюрьмой . людовик благочестивый держал здесь в заключении аббата валу из корвея . в середине xiv века , во время эпидемии чумы , в замке содержались и подвергались пыткам евреи , которых обвиняли в отравлениях источников воды . в шильонском замке происходит действие поэмы
36	замок	1		151-156, 216-221, 378-383	был главный инженер людовика xiv , маршал франции себастьен де вобан ( — ) . строительство замка начиналось с выбора места и строительных материалов . замок из дерева стоил дешевле , и построить его было проще , чем замок из камня . стоимость строительства большинства замков не дошла до наших дней большинство сохранившихся документов по теме относится к королевским дворцам . замок из дерева с мотт и бейли мог быть построен неквалифицированной рабочей силой — зависимыми от феодала крестьянами , которые уже обладали навыками , необходимыми
37	замок	1		273-278, 458-463	крепость , первоначально имевшая деревянные и земляные укрепления , занимала вершину замковой горы . возможно , в конце xiii — начале xiv веках она была перестроена в камне . постройка каменного замка в году приписывается польскому королю казимиру , захватившему галицию . замок , повторивший очертания вершины горы , в плане приобрел форму вытянутого прямоугольника с четырьмя башнями на углах , из которых самая высокая , западная , была дозорной . внутри замок разделялся на два двора зданием княжеского дворца . внутри стен находились казармы , склады боеприпасов в
38	замок	1		297-302	башен . парадные залы дворца украшают витражи и фрески , главными сюжетами для которых служили сцены из жизни великих князей . жилые помещения соединялись между собой внутренними деревянными галереями . между спальней князя и казначейской палатой был тайный ход , который вел во внутренний двор . замок был оборудован системой воздушного отопления горячий воздух поднимался по трубам и согревал холодные каменные стены . о небывалом богатстве замка свидетельствует тот факт , что , как явствует из литовских хроник , даже седла в замке были золотыми . несколько седел вместе с лошадьми были подарены
39	замок	1		11-16	тракайский замок трака́йский ( тро́кский или тро́цкий ) за́мок — самый большой из сохранившихся в литве старинных замков . находится в древней резиденции литовских князей — в городе тракай ( , , ) . внутри замка с года
40	замок	1		195-200, 426-431	святого ниниана была построена церковь , но в г . ее захватил уильям уоллес и сжег церковь вместе с укрывшимся в ней английским гарнизоном . в г . англичане вновь взяли данноттар , и в это время замок посетил король эдуард iii . но в том же году данноттар был возвращен шотландии благодаря усилиям сэра эндрю мюррея . в конце xiv в . сэр уильям кит снес более ранние ( вероятно деревянные ) постройки и построил на этом месте замок из камня
41	замок	1		222-227	борьба за власть . сэр юстас немедленно переметнулся на сторону эдварда баллиоля , который хотели сместить брюсов с трона . в г . сэр юстас восстановил и укрепил керлаверок и передал его в распоряжение баллиоля . в xv в . замок был частично перестроен лордом гербертом максвеллом , - м лордом максвеллом , и его сыном робертом , - м лордом максвеллом , а в xvi в . керлаверок вновь фигурирует в описаниях конфликтов между англией и шотландией . в
42	замок	1		0-5, 22-27	замок торон история . замок торон был построен гуго де сент - омером , вторым князем галилеи для помощи в захвате тира . после его смерти была создана независимая сеньория , которая в году была отдана онфруа i де торону .
43	замок	1		0-5, 32-37, 45-50	замок кенигсберг кенигсбергский замок ( )  — замок тевтонского ордена в кенигсберге ( калининград ) , называемый также королевским замком . заложен в году чешским королем оттокаром ii пржемыслом и просуществовал до года .
44	замок	1		0-5	замок дамбартон в году в замке содержался под стражей заместитель командующего королевской армии в шотландии генерал уильям драммонд , которого обвинили в тайных симпатиях к мятежным ковенантерам .
45	замок	1		266-271	новгорода . как показали археологические раскопки - х годов , ранее , на замковом острове располагался укрепленный пункт карел , разрушенный взявшими его шведами . . . по решению регента шведского короля торгильса кнутссона , на замковом острове построен был мощный замок , получивший название выборг . шведы окружили возвышенную часть острова стеной , а в центре возвели каменную башню , квадратную в плане . высокая дозорная и боевая башня наречена была в честь норвежского короля , крестителя скандинавии олава святого . башня эта долгое время считалась самым
46	замок	1		14-19, 202-207, 315-320	"парке высокий замок . название происходит от древнего укрепления львова — "" высокого замка "" ( в противоположность другому — "" низкому замку "" ) , который существовал с xiii до - х гг . xix в . высокий замок веками был важнейшим оборонительным форпостом города . как и большинство древнерусских крепостей , высокий замок состоял из самого детинца , окольного града и предградья . крепость , первоначально имевшая деревянные и земляные укрепления , занимала вершину замковой горы . возможно , в конце xiii — начале xiv"
47	замок	1		26-31, 125-130, 270-275, 409-414	его завоевать . островной замок сразу стал основной резиденцией великого князя витовта . после грюнвальдской битвы июля года замок утратил свое военное значение , так как основной противник великого княжества литовского — тевтонский орден — был разгромлен . в это время замок переживал период своего расцвета . роскошные приемы и пиры устраивались в честь иностранных послов и высоких гостей , съезжавшихся в замок со всей европы . в островном замке октября года умер витовт . к концу xvi века троки
48	замок	1		11-16, 19-24, 82-87	стерлинг ( замок ) замок стерлинг ( ) — находится в шотландии в городе стерлинг . замок стерлинг является одним из крупнейших и важнейших замков шотландии , как с исторической , так и с архитектурной точки зрения . он располагается на вершине замкового холма .
49	замок	1		240-245	проведен референдум . референдум будет совмещен с выборами в областную думу и окружной совет калининград и состоится в марте года . после смены губернатора и правительства области в сентябре года вопрос о референдуме больше не поднимался . замок кенигсберг с момента его основания возглавляли комтуры тевтонского ( немецкого ) ордена . первым комтуром после основания замка стал в году буркхард фон хорнхаузен .
50	замок	1		31-36, 92-97, 252-257, 330-335	сюартов обязали вновь передать замок кэмпбеллам . стюарты отказались , и кэмпбеллы осаждали замок в течение нескольких месяцев , пока наконец не захватили его . кэмпбеллы жили в замке примерно до  г . , потом перебрались с острова на большую землю , а замок использовали как склад , пока в  г . в нем не обвалилась крыша . в  г . замок купил чарльз стюарт , потомок стюартов , которые владели замком лет назад , а в
51	замок	1		98-103, 283-288, 449-454	постройка каменного замка в году приписывается польскому королю казимиру , захватившему галицию . замок , повторивший очертания вершины горы , в плане приобрел форму вытянутого прямоугольника с четырьмя башнями на углах , из которых самая высокая , западная , была дозорной . внутри замок разделялся на два двора зданием княжеского дворца . внутри стен находились казармы , склады боеприпасов в скале был вырублен глубокий колодец . впервые высокий замок был взят штурмом в году казаками под предводительством максима кривоноса . после
52	замок	1		269-274	- западной стены строятся каменные казармы . июня года , после более чем двухмесячной осады и бомбардировок , город был взят войсками петра i и последний шведский комендант города полковник магнус шернстроле сдался на милость победителя . потерпевший значительный урон замок интенсивно ремонтируется , однако после строительства в конце xvi века рогатой крепости и анненских укреплений во второй половине xviii века , надежно прикрывших город со стороны швеции , военное значение замка стремительно идет на убыль , его начинают использовать для размещения гарнизона . после двух сильных пожаров в
53	замок	1		143-148, 255-260, 432-437	расположен на восточном побережье шотландии в двух милях к югу от стонхейвена и в милях от абердина . ранняя история . утес , на котором стоит замок , словно специально был создан для того , чтобы данноттар стал самой неприступной крепостью шотландии . в замок можно было попасть всего двумя способами через хорошо укрытый в расселине скалы главный вход либо по узкой крутой тропинке , которая вела через пещеры к потайному входу в замок . неудивительно , что в течение многих веков на неприступной скале возводили укрепления . известно , что
54	замок	1		227-232	как была возможность избежать нападения . хотя обмен не состоялся , осторожность султана была оправдана . в году , через два года после его смерти , фридрих ii вернул торон по договору с султаном аль - камилем . в этом же году замок был передан в руки тевтонского ордена и началось его восстановление . торон оставался в руках крестоносцев до года , когда байбарс практически без боя взял город . сеньоры торона были очень влиятельными в королевстве онфруа ii был коннетаблем . онфруа
